date,country_name,price_type,market_name,commodity_name,currency,measure_unit_label,Price,Exchange_Rate,Price_INR,DATE
2026-01-06 00:00:00,Afghanistan,RETAIL,Kandahar,Tomatoes,AFN,Kg,17.67,1.23,21.73,2026-06-01 00:00:00
2026-01-05 00:00:00,Afghanistan,RETAIL,Kandahar,Tomatoes,AFN,Kg,28.33,1.23,34.85,2026-05-01 00:00:00
2026-01-04 00:00:00,Afghanistan,RETAIL,Kandahar,Tomatoes,AFN,Kg,49.75,1.23,61.19,2026-04-01 00:00:00
2026-01-03 00:00:00,Afghanistan,RETAIL,Kandahar,Tomatoes,AFN,Kg,57,1.23,70.11,2026-03-01 00:00:00
2026-01-02 00:00:00,Afghanistan,RETAIL,Kandahar,Tomatoes,AFN,Kg,40.75,1.23,50.12,2026-02-01 00:00:00
2026-01-01 00:00:00,Afghanistan,RETAIL,Kandahar,Tomatoes,AFN,Kg,40,1.23,49.2,2026-01-01 00:00:00
2025-01-12 00:00:00,Afghanistan,RETAIL,Kandahar,Tomatoes,AFN,Kg,39.4,1.23,48.46,2025-12-01 00:00:00
2025-01-11 00:00:00,Afghanistan,RETAIL,Kandahar,Tomatoes,AFN,Kg,35,1.23,43.05,2025-11-01 00:00:00
2025-01-10 00:00:00,Afghanistan,RETAIL,Kandahar,Tomatoes,AFN,Kg,41.67,1.23,51.25,2025-10-01 00:00:00
2025-01-09 00:00:00,Afghanistan,RETAIL,Kandahar,Tomatoes,AFN,Kg,23.6,1.23,29.03,2025-09-01 00:00:00
2025-01-08 00:00:00,Afghanistan,RETAIL,Kandahar,Tomatoes,AFN,Kg,7.33,1.23,9.02,2025-08-01 00:00:00
2025-01-07 00:00:00,Afghanistan,RETAIL,Kandahar,Tomatoes,AFN,Kg,6.6,1.23,8.12,2025-07-01 00:00:00
2025-01-06 00:00:00,Afghanistan,RETAIL,Kandahar,Tomatoes,AFN,Kg,19.5,1.23,23.98,2025-06-01 00:00:00
